timestamp,precio,divisa,fuente
2026-03-25T12:49:52Z,4550.6,USD,Yahoo Finance / GC=F
2026-03-25T12:50:41Z,4549.1,USD,Yahoo Finance / GC=F
2026-03-25T13:35:56Z,4557.8,USD,Yahoo Finance / GC=F
